Date,Opening,First Candel Colour,Correction Type,Corrected Points,Overal Trend,Support Zone,First Target,Second target,Third Target,Total points Gain
6/5/2023,Gapup,Red,Direct Down,53,Sideways,Y,Y,Y,N,32
6/6/2023,Same,Red,Inverse Down,86,Sideways,Y,Y,Y,N,54
6/8/2023,Same,Green,Direct Down,100,Uptrend,Y,N,N,N,0
6/9/2023,Gapup,Red,Inverse Down,67,Downtrend,N,Y,N,N,21
6/12/2023,Gapup,Red,Direct Down,74,Downtrend,Y,N,N,N,0
14/06/2023,Gapup,Red,Direct Down,63,Sideways,Y,Y,Y,Y,48
15/06/2023,Gapup,Red,Direct Down,55,Sideways,Y,Y,Y,Y,47
19/06/2023,Gapup,Red,Direct Down,119,Downtrend,N,N,N,N,0
20/06/2023,Same,Red,Direct Down,92,Sideways,Y,N,N,N,0
20/06/2023,Same,Red,Direct Down,100,Sideways,Y,Y,Y,Y,77
21/06/2023,Gapup,Red,Inverse Down,80,Sideways,Y,Y,N,N,55
22/06/2023,Same,Red,Inverse Down,108,Sideways,Y,Y,N,N,55
23/06/2023,Gapdown,Red,Direct Down,109,Downtrend,Y,Y,N,N,75
26/06/2023,Gapup,Red,Inverse Down,69,Sideways,Y,N,N,N,0
27/06/2023,Gapup,Green,Inverse Down,49,Uptrend,Y,Y,Y,Y,37
7/3/2023,Gapup,Green,Inverse Down,83,Uptrend,N,Y,Y,N,64
7/4/2023,Gapup,Red,Direct Down,113,Uptrend,Y,Y,Y,Y,82
7/6/2023,Same,Red,Direct Down,39,Uptrend,Y,Y,Y,Y,30
7/7/2023,Gapdown,Green,Inverse Down,178,Downtrend,Y,N,N,N,0
7/10/2023,Gapup,Red,Direct Down,60,Downtrend,Y,Y,Y,Y,44
7/12/2023,Gapup,Red,Direct Down,73,Downtrend,Y,N,N,N,0
14/07/2023,Gapup,Red,Direct Down,86,Sideways,Y,Y,Y,Y,65
17/07/2023,Same,Red,Direct Down,38,Uptrend,N,Y,Y,Y,40
18/07/2023,Gapup,Red,Direct Down,73,Uptrend,Y,Y,Y,N,40
19/07/2023,Gapup,Red,Inverse Down,114,Uptrend,Y,Y,Y,N,62
20/07/2023,Same,Red,Inverse Down,85,Sideways,Y,Y,Y,Y,65
21/07/2023,Gapdown,Green,Inverse Down,154,Downtrend,Y,N,N,N,0
24/07/2023,Gapdown,Red,Inverse Down,124,Downtrend,Y,Y,Y,N,50
25/07/2023,Gapup,Red,Direct Down,91,Downtrend,Y,Y,Y,N,48
27/07/2023,Gapup,Green,Inverse Down,263,Downtrend,N,N,N,N,0
28/07/2023,Same,Red,Direct Down,133,Downtrend,Y,Y,N,N,40
31/07/2023,Gapup,Red,Direct Down,82,Sideways,N,Y,Y,Y,62
8/1/2023,Gapup,Red,Inverse Down,88,Sideways,Y,N,N,N,0
8/2/2023,Gapdown,Red,Direct Down,254,Downtrend,Y,N,N,N,0
8/3/2023,Gapdown,Green,Direct Down,74,Downtrend,Y,N,N,N,0
8/4/2023,Gapup,Green,Inverse Down,61,Downtrend,Y,Y,N,N,19
8/7/2023,Gapup,Green,Direct Down,57,Sideways,Y,Y,Y,N,32
8/8/2023,Gapup,Red,Direct Down,102,Sideways,Y,N,N,N,0
8/9/2023,Same,Green,Direct Down,83,Sideways,Y,Y,Y,Y,64
8/10/2023,Gapdown,Red,Inverse Down,128,Sideways,Y,Y,N,N,42
14/08/2023,Gapdown,Red,Direct Down,134,Downtrend,Y,Y,Y,Y,103
18/08/2023,Gapdown,Red,Inverse Down,76,Downtrend,Y,Y,N,N,26
21/08/2023,Gapup,Green,Inverse Down,71,Uptrend,N,Y,Y,Y,55
22/08/2023,Gapup,Red,Inverse Down,61,Uptrend,Y,Y,Y,N,34
23/08/2023,Gapup,Red,Direct Down,84,Sideways,Y,Y,Y,Y,67
25/08/2023,Gapdown,Red,Inverse Down,110,Downtrend,Y,Y,N,N,36
28/08/2023,Gapup,Red,Direct Down,79,Sideways,Y,Y,Y,Y,61
29/08/2023,Gapup,Red,Direct Down,63,Sideways,Y,Y,N,N,21
31/08/2023,Gapup,Red,Direct Down,64,Sideways,Y,Y,Y,N,36
1/9/2023,Gapup,Green,Inverse Down,44,Sideways,Y,Y,Y,Y,34
4/9/2023,Gapup,Red,Direct Down,93,Uptrend,Y,Y,Y,Y,73
6/9/2023,Same,Red,Inverse Down,113,Uptrend,Y,Y,Y,Y,87
7/9/2023,Gapdown,Red,Direct Down,70,Uptrend,Y,Y,Y,Y,54
7/9/2023,Gapdown,Red,Inverse Down,49,Uptrend,Y,Y,Y,Y,38
22/09/2023,Same,Green,Inverse Down,128,Downtrend,Y,Y,Y,N,72
 ,,,,,,,,,,
 ,,,,,,,,,,
